code,name,sector,sub_sector,market_cap_oku_jpy
7974,任天堂,エンタメ,ゲーム,8949.7
9602,東宝,エンタメ,コンテンツ,1222.5
9766,コナミ,エンタメ,ゲーム,2562.0
9684,スクウェア・エニックス・ホールディングス,エンタメ,ゲーム,886.0
4816,東映アニメーション,エンタメ,コンテンツ,534.3
6758,ソニーグループ,エンタメ,総合,18578.6
9605,東映,エンタメ,コンテンツ,363.7
9697,カプコン,エンタメ,ゲーム,1381.6
5032,ANYCOLOR,エンタメ,コンテンツ,167.7
9601,松竹,エンタメ,コンテンツ,142.7
9020,東日本旅客鉄道,運輸,鉄道,3825.3
9022,東海旅客鉄道,運輸,鉄道,3576.2
9023,東京地下鉄,運輸,鉄道,910.4
9064,ヤマトホールディングス,運輸,陸運,558.8
9101,日本郵船,運輸,海運,2329.2
9104,商船三井,運輸,海運,2039.2
9107,川崎汽船,運輸,海運,1619.7
9143,SGホールディングス,運輸,陸運,872.4
9201,日本航空,運輸,空運,1054.8
9202,ANAホールディングス,運輸,空運,1180.5
9843,ニトリ,小売,家具・雑貨,1252.4
3092,ZOZO,小売,衣類,932.1
7532,パン・パシフィック・インターナショナルホールディングス,小売,雑貨,2658.0
9983,ファーストリテイリング,小売,衣類,22580.3
7581,サイゼリヤ,小売,外食,249.6
3382,セブン＆アイ・ホールディングス,小売,総合,4325.2
7564,ワークマン,小売,衣類,587.6
2702,日本マクドナルドホールディングス,小売,外食,1079.6
8267,イオン,小売,総合,4177.6
2695,くら寿司,小売,外食,68.3
